Table 8.6 Second additional Canada Pension Plan / Quebec Pension Plan 2026 rates and amounts,,,,,
CPP/QPP,Year’s Maximum Pensionable Earnings (YMPE),Year’s Additional Maximum Pensionable Earnings (YAMPE),Pensionable earnings subject to Second Additional Contribution,Second Additional Employee and Employer Contribution Rate,Maximum Second Additional Employee and Employer Contribution*
CPP (Canada except QC),"74,600.00","85,000.00","10,400.00",0.04,416
