Table 8.9 Federal claim codes (using maximum BPAF),,,,
Claim code,Total claim amount ($) from,Total claim amount ($) to,"Option 1, TC ($)","Option 1, K1 ($)"
1,0,"16,452.00","16,452.00","2,303.28"
