Table 8.5 First additional Canada Pension Plan / Quebec Pension Plan 2026 rates and amounts,,,
CPP/QPP,Year’s Maximum Pensionable Earnings (YMPE),First Additional Employee and Employer Contribution Rate,Maximum First Additional Employee and Employer Contribution*
CPP (Canada except QC),"74,600.00",0.01,711
